Release,Supplier, Review,Tag Number,QTY Released,Unit,Size,Description,Material,Lining,Coating,Release Date,Due Date,Area,System,Contract Dwg,System2,Shop Dwg,Delivered QTY,Need QTY,Received On,Received By,Storage Location,Notes,Estimate Cost,Contract Unit Price,Contract Extended Price,Above/Below,Invoice No.,Invoice Unit Price,Invoice Extended Price,Delta (Invoice-Contract),QTY Invoiced to Date,,
1,KAT,ok,110Ua-16-02,2,EA,"16"" x 13'-00""",CL53 FLGxPE SPOOL,DI,P401,Primed,2/19/2026,3/9/2026,LS1,LS1 to Headworks,"60% QAQC - C03-305, M25-401, M30-101",FM,,2, ,5/5/2026,David Nigro,Pipe Laydown,,," $5,349.73 "," $10,699.46 ",Riser,3864(2)," $5,349.73 "," $10,699.46 ", $-   ,2,,
1,KAT,I got 152,110Ua-16-03,200,LF,"16""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,3/9/2026,LS1,LS1 to Headworks,"60% QAQC - C03-305, M25-401",FM,,200, ,5/29/2026,Pablo Chapellin,Pipe Laydown,"40 LF del 5/27/26
160 LF del 5/29/26",, $171.56 ," $34,312.00 ",Below,3979(160), $171.56 ," $34,312.00 ", $-   ,160,,
1,KAT,ok,110Ua-16-04,2,EA,"16""","16"" MJ 90 BEND",DI,P401,Asphaltic,2/19/2026,3/9/2026,LS1,LS1 to Headworks,"60% QAQC - C03-305, M25-102, M25-401",FM,,2, ,5/4/2026,David Nigro,Pipe Laydown,,," $1,877.00 "," $3,754.00 ",Below,3858(2),, $-   , $-   ,2,,
1,KAT,8,110Ua-16-07,10,EA,"16""","16"" Megalug w/ Accessory Kit",,,,2/19/2026,3/9/2026,LS1,LS1 to Headworks,"60% QAQC - C03-305, M25-401",FM,,10, ,6/1/2026,David Nigro,Pipe Laydown,,, $209.00 ," $2,090.00 ",Below,,, $-   , $-   ,,,
,,,,,,,,,,,,3/9/2026,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,2,,
5,KAT,hold,116.3Ua-10-01,2,EA,"10"" x 6'-00""","CL50 PE x WC x MJ WC 35"" FROM PE",DI,P401,Asphaltic,,3/9/2026,Clarifier 1 and 2,"10"" Drain Clarifiers 1 and 2","60% QAQC - C03-305, M25-401",Clarifier Drain,,2, ,6/11/2026,Pablo Chapellin,Pipe Laydown,,," $1,474.24 "," $2,948.48 ",Below,4037(2)," $1,474.27 "," $2,948.54 ", $0.06 ,220,,
1,KAT,I got 200,116.3Ua-10-02,180,LF,"10""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,3/9/2026,Clarifier 1 and 2,"10"" Drain Clarifiers 1 and 2","60% QAQC - C03-305, M25-401",Clarifier Drain,,220,-40,5/11/2026,David Nigro,Pipe Laydown,,, $97.36 ," $17,524.80 ",Below,3885(220), $97.36 ," $21,419.20 "," $3,894.40 ",2,,
5,KAT,ok,116.3Ua-10-03,2,EA,"10""x6""","10""x06"" MJ RED WYE",DI,P401,Asphaltic,,3/9/2026,Clarifier 1 and 2,"10"" Drain Clarifiers 1 and 2","60% QAQC - C03-305, M25-401",Clarifier Drain,,2, ,7/7/2026,Pablo Chapellin ,Pipe Laydown,,," $1,428.00 "," $2,856.00 ",Below,4137(2)," $1,428.00 "," $2,856.00 ", $-   ,2,,
1,KAT,??,116.3Ua-10-04,2,EA,"10""","10"" MJ 45 BEND",DI,P401,Asphaltic,2/19/2026,3/9/2026,Clarifier 1 and 2,"10"" Drain Clarifiers 1 and 2","60% QAQC - C03-305, M25-102, M25-401",RAS,,2, ,5/4/2026,David Nigro,Pipe Laydown ,,, $724.00 ," $1,448.00 ",Below,3858(2),, $-   , $-   ,2,,
1,KAT,10,116.3Ua-10-07,18,EA,"10""","10"" Megalug w/ Accessory Kit",,,,2/19/2026,5/4/2026,Clarifier 1 and 2,"10"" Drain Clarifiers 1 and 2","60% QAQC - C03-305, M25-401",Clarifier Drain,,18, ,6/17/2026,Chelsea Vohwinkle,Pipe Laydown,4 del 6/1/26; 14 del 6/17/26,, $94.00 ," $1,692.00 ",Below,,, $-   , $-   ,,,
